HumanSays:,RobotSays:
HumanSays:,RobotSays:
IDKnull,I don't know.
IDKnull,I'll need to take some time to think on that.
IDKnull,Can you try rephrasing that please?
IDKnull,I'm not sure about that.
IDKnull,Is there a different way you can ask that?
IDKnull,I don't have a response for that.
IDKnull,I will have to give that some thought.
IDKnull,I don't really know what you are asking.
IDKnull,There are some things I just don't know about yet.
IDKnull,I'm not an expert on that.
IDKnull,I could not tell you.
Nothing,What?
Nothing,I think you hit the wrong key...
Nothing,What did you want to ask?
Nothing,Let's talk about something.
Nothing,One more time?
Who are you?,I am a ChatBot.
Who are you?,I am a Python powered ChatBot.
Who are you?,I am a ChatBot running on Python and a dash of artificial intelligence.
Hello,Hi!
Hi,Hello!
Greetings,Hello World!
Hey,Hello World!
What's up?,Hello World!
Who are you?,I am a Chatbot.
What is your name?,ChatBot.
What graduate programs are offered in the College of Teacher Education?, "In the College of Teacher Education, we offer the following graduate programs: Doctor of Education with a major in Educational Management, Doctor of Philosophy in Education with a major in Educational Leadership Management, and Master of Arts in Education with various majors such as Educational Management, Guidance and Counseling, English, Filipino, Mathematics, Science and Technology, Physical Education, Social Science, and Home Economics."
Are there any graduate programs in the College of Agriculture?,"Yes, in the College of Agriculture, we offer the Doctor of Philosophy in Agriculture and the Master of Science in Agriculture."
What graduate program is available in the College of Computer Studies?,"The College of Computer Studies offers the Master of Science in Information Technology."
Tell me about the graduate program in the College of Business Management and Accountancy?,In the College of Business Management and Accountancy, we offer the Master in Public Administration."
Are there any specialized graduate programs in the College of Fisheries?,"Yes, in the College of Fisheries, we offer the Master of Science in Fisheries with majors in Aquaculture and Post-Harvest."
Where is the main campus of Laguna State Polytechnic University located?,"The main campus of Laguna State Polytechnic University is located in Brgy. Bubukal, Sta. Cruz, Laguna."
Which campus offers the Master of Science in Fisheries?,"The Master of Science in Fisheries program is offered at the College of Fisheries in Laguna State Polytechnic University."
What is the address of the San Pablo City Campus?,"The address of the San Pablo City Campus of Laguna State Polytechnic University is Brgy. Del Remedio, San Pablo City, 4000."
Who can I contact in case of an emergency?,"In case of an emergency, you can contact your guardian/parent whose contact information you provided in the handbook."
What is the curricular year for undergraduate students?,"The curricular year for undergraduate students may vary based on their enrolled course and college. It is specified in the handbook based on the respective programs."
What were the previous names of LSPU?,"LSPU had previous names such as Baybay Agricultural and Vocational School (BNAVS), Baybay National College of Agriculture and Technology (BNCAT), and Laguna State Polytechnic College (LSPC)."
Who was the first president of LSPC?,"Dr. Ricardo A. Wagan served as the first president of Laguna State Polytechnic College (LSPC) in 1986."
When did Laguna State Polytechnic College become a state university?,"Laguna State Polytechnic College became a state university on March 22, 2007, through Republic Act No. 9402."
What educational model did LSPU adopt during the COVID-19 pandemic?,"LSPU adopted Flexible Learning as a Delivery Model in response to the COVID-19 pandemic."
When was the LSPU Pandemic Plan approved?,"The LSPU Pandemic Plan was approved for implementation on September 21, 2020."
Who is the Chairperson-Designate and Presiding Officer of the Board of Regents?,"The Chairperson-Designate and Presiding Officer of the Board of Regents is Hon. Lilian A. de las Llagas, who is also a CHED Commissioner."
Who is the Vice-Chairman of the Board of Regents?,"The Vice-Chairman of the Board of Regents is Hon. Mario R. Briones, who is also the President of LSPU."
Who is the Chairperson of the Senate Committee on Technical and Vocational Education?,"The Chairperson of the Senate Committee on Technical and Vocational Education is Hon. Joel G. Villanueva."
Who represents Hon. Joel G. Villanueva on the Board of Regents?,"ATTY. Zenon C. Agarao represents Hon. Joel G. Villanueva on the Board of Regents."
Who is the Chairperson of the Committee on Higher Technical Education?,"The Chairperson of the Committee on Higher Technical Education is Hon. Mark O. Go, represented by Congresswoman Marisol Aragones-Sampelo."
Who is the NEDA IV-A Regional Director and a member of the Board of Regents?,"HON. Luis G. Banua is the NEDA IV-A Regional Director and a member of the Board of Regents."
Who is the DOST IV-A Regional Director and a member of the Board of Regents?,"HON. Alexander R. Madrigal is the DOST IV-A Regional Director and a member of the Board of Regents."
