Hello,Hello World!
test,I will have to give that some thought.
Hello,Hello World!
Hello,Hello World!
hello,Hello World!
aaa,I'm not an expert on that.
sss,I'm not sure about that.
zz,Is there a different way you can ask that?
hello,Hello World!
time,There are some things I just don't know about yet.
what time,There are some things I just don't know about yet.
Got the time?,getTime()
hi,I will have to give that some thought.
Hello,Hello World!
xzs,I don't have a response for that.
hello,Hello World!
hi,I'm not sure about that.
lllllllllll,I'm not an expert on that.
hello,Hello World!
1+1, 2
2+2,I don't know.
handbook,I don't have a response for that.
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
What graduate programs are offered in the College of Teacher Education?,In the College of Teacher Education
Hello,Hello World!
What graduate programs are offered in the College of Teacher Education?,"In the College of Teacher Education, we offer the following graduate programs: Doctor of Education with a major in Educational Management, Doctor of Philosophy in Education with a major in Educational Leadership Management, and Master of Arts in Education with various majors such as Educational Management, Guidance and Counseling, English, Filipino, Mathematics, Science and Technology, Physical Education, Social Science, and Home Economics."
Hello,Hello World!
who is the vice president,The current President of LSPU is Dr. Mario R. Briones.
Who is the Vice President for Academic Affairs?,Dr. Eden C. Callo is the Vice President for Academic Affairs.
dsds,I'm not an expert on that.
aaaa,I will have to give that some thought.
president,I will have to give that some thought.
when lspu esstablished,I don't have a response for that.
When was Laguna State Polytechnic University (LSPU) established?,Laguna State Polytechnic University (LSPU) was initially established in 1952 as Baybay Provincial High School.
When was Laguna State Polytechnic University  established?,Laguna State Polytechnic University (LSPU) was initially established in 1952 as Baybay Provincial High School.
When  Laguna State Polytechnic University (LSPU) established?,Laguna State Polytechnic University (LSPU) was initially established in 1952 as Baybay Provincial High School.
When was LSPU established?,I could not tell you.
who is the neda,getDate()
what educational model,Is there a different way you can ask that?
what educational model did lspu adopt,I don't really know what you are asking.
when was lspu pandemic plan,There are some things I just don't know about yet.
when was lspu pandemic plan approved,"The LSPU Pandemic Plan was approved for implementation on September 21, 2020."
when was lspu pandemic,I don't have a response for that.
when was pandemic plan,I don't really know what you are asking.
Hello,Hello World!
What are the undergraduate programs offered by the College of Agriculture,The College of Agriculture offers the following undergraduate programs:1. Bachelor of Science in Agriculture 2. Bachelor of Science in Agribusiness 3. Bachelor in Agricultural Technology 4. Bachelor of Science in Environmental Science 5. Bachelor of Science in Food Technology.
Hello,Hi!
Who was the first president of LSPC?,Dr. Ricardo A. Wagan served as the first president of Laguna State Polytechnic College (LSPC) in 1986.
,Is there a different way you can ask that?
,Is there a different way you can ask that?
,I don't really know what you are asking.
Who the first president of LSPC, Dr. Ricardo A. Wagan served as the first president of Laguna State Polytechnic College (LSPC) in 1986. And Laguna College of Arts and Trades in 1999.
What course/program is available in the College of Computer Studies?,The College of Computer Studies offers the Master of Science in Information Technology.
What program is available in the College of Computer Studies?, The Master of Science in Information Technology.
What course is available in the College of Computer Studies?, The Master of Science in Information Technology.
kamusta kana,I will have to give that some thought.
kumain ka na ba?,There are some things I just don't know about yet.
Hello,Hi!
hi,I don't really know what you are asking.
Hello,Hi!
hello,Hi!
Hi,Hello!
Who the presisdent,I could not tell you.
current president,I don't have a response for that.
current president of lspu,"As of May 22, 2019, Dr. Mario R. Briones is the current president of Laguna State Polytechnic University (LSPU)."
Hello,Hi!
What is cross-registration at LSPU,"Cross-registration at LSPU refers to the simultaneous registration for a semester or midyear class in more than one college within the university. To cross-register, students need to secure permission from the mother college and ensure that the course description is similar to that of the other college's subject offering. There are different cross-registration scenarios mentioned: - Within the LSPU System: Students need permission from the registrar of the campus where they are primarily enrolled. They should complete their registration on their home campus first. The total number of units or credits for cross-registration should not exceed the maximum allowed in the academic load rules. - From Another Institution: Students registered at another institution and wishing to cross-register in LSPU need to present a registrar's written permit stating the total number of units and authorized subjects. Admission is subject to the approval of the LSPU registrar. - To Another Institution: Students wishing to cross-register in another institution should seek permission/approval from the college dean and the campus registrar. They need to specify the subject/course and the number of units to be cross-enrolled to earn credits."
Hello,Hi!
What is cross-registration at LSPU?,"Cross-registration at LSPU refers to the simultaneous registration for a semester or midyear class in more than one college within the university. To cross-register, students need to secure permission from the mother college and ensure that the course description is similar to that of the other college's subject offering. There are different cross-registration scenarios mentioned: \n - Within the LSPU System: Students need permission from the registrar of the campus where they are primarily enrolled. They should complete their registration on their home campus first. The total number of units or credits for cross-registration should not exceed the maximum allowed in the academic load rules. - From Another Institution: Students registered at another institution and wishing to cross-register in LSPU need to present a registrar's written permit stating the total number of units and authorized subjects. Admission is subject to the approval of the LSPU registrar. - To Another Institution: Students wishing to cross-register in another institution should seek permission/approval from the college dean and the campus registrar. They need to specify the subject/course and the number of units to be cross-enrolled to earn credits."
Hello,Hi!
What is cross-registration at LSPU?,"Cross-registration at LSPU refers to the simultaneous registration for a semester or midyear class in more than one college within the university. To cross-register, students need to secure permission from the mother college and ensure that the course description is similar to that of the other college's subject offering. There are different cross-registration scenarios mentioned: \n""- Within the LSPU System: Students need permission from the registrar of the campus where they are primarily enrolled. They should complete their registration on their home campus first. The total number of units or credits for cross-registration should not exceed the maximum allowed in the academic load rules. - From Another Institution: Students registered at another institution and wishing to cross-register in LSPU need to present a registrar's written permit stating the total number of units and authorized subjects. Admission is subject to the approval of the LSPU registrar. - To Another Institution: Students wishing to cross-register in another institution should seek permission/approval from the college dean and the campus registrar. They need to specify the subject/course and the number of units to be cross-enrolled to earn credits."""
Hello,Hi!
What is cross-registration at LSPU?,"Cross-registration at LSPU refers to the simultaneous registration for a semester or midyear class in more than one college within the university. To cross-register, students need to secure permission from the mother college and ensure that the course description is similar to that of the other college's subject offering. There are different cross-registration scenarios mentioned: \n- Within the LSPU System: Students need permission from the registrar of the campus where they are primarily enrolled. They should complete their registration on their home campus first. The total number of units or credits for cross-registration should not exceed the maximum allowed in the academic load rules. - From Another Institution: Students registered at another institution and wishing to cross-register in LSPU need to present a registrar's written permit stating the total number of units and authorized subjects. Admission is subject to the approval of the LSPU registrar. - To Another Institution: Students wishing to cross-register in another institution should seek permission/approval from the college dean and the campus registrar. They need to specify the subject/course and the number of units to be cross-enrolled to earn credits."
Hello,Hi!
